iata,icao,name,city,state,country,latitude,longitude,elevation_ft,timezone
CVU,LPCR,Corvo Airport,Corvo,Azores,PT,39.671501,-31.113600,0,Atlantic/Azores
CWA,KCWA,Central Wisconsin Airport,Mosinee,Wisconsin,US,44.777599,-89.666801,1277,America/Chicago
CWB,SBCT,Afonso Pena Airport,Curitiba,Parana,BR,-25.528500,-49.175800,2988,America/Sao_Paulo
CWL,EGFF,Cardiff International Airport,Cardiff,Wales,GB,51.396702,-3.343330,220,Europe/London
CXB,VGCB,Cox's Bazar Airport,Cox's Bazar,Chittagong,BD,21.452200,91.963898,12,Asia/Dhaka
CXI,PLCH,Cassidy International Airport,Banana,Line-Islands,KI,1.986160,-157.350006,5,Pacific/Kiritimati
CXJ,SBCX,Campo dos Bugres Airport,Caxias Do Sul,Rio-Grande-do-Sul,BR,-29.197100,-51.187500,2472,America/Sao_Paulo
CXR,VVCR,Cam Ranh Airport,Nha Trang,Khanh-Hoa,VN,11.998200,109.219002,40,Asia/Ho_Chi_Minh
CXY,MYCC,Cat Cay Airport,Cat Cay,Bimini,BS,25.600000,-79.266998,0,America/Nassau
CYA,MTCA,Les Cayes Airport,Les Cayes,Sud,HT,18.271099,-73.788300,203,America/Port-au-Prince
CYB,MWCB,Gerrard Smith International Airport,Cayman Brac,,KY,19.687000,-79.882797,8,America/Cayman
CYF,PACK,Chefornak Airport,Chefornak,Alaska,US,60.149200,-164.285995,40,America/Nome
CYI,RCKU,Chiayi Airport,Chiayi City,Taiwan,TW,23.461800,120.392998,85,Asia/Taipei
CYO,MUCL,Vilo Acuna International Airport,Cayo Largo del Sur,Isla-de-la-Juventud,CU,21.616501,-81.545998,10,America/Havana
CYP,RPVC,Calbayog Airport,Calbayog City,Eastern-Visayas,PH,12.072700,124.544998,12,Asia/Manila
CYS,KCYS,Cheyenne Regional Jerry Olson Field,Cheyenne,Wyoming,US,41.155701,-104.811997,6159,America/Denver
CYX,UESS,Cherskiy Airport,Cherskiy,Chukot,RU,68.740601,161.337997,20,Asia/Srednekolymsk
CYZ,RPUY,Cauayan Airport,Cauayan City,Cagayan-Valley,PH,16.929899,121.752998,200,Asia/Manila
CZL,DABC,Mohamed Boudiaf International Airport,Constantine,Constantine,DZ,36.276001,6.620390,2265,Africa/Algiers
CZM,MMCZ,Cozumel International Airport,Cozumel,Quintana-Roo,MX,20.522400,-86.925598,15,America/Cancun
CZS,SBCZ,Cruzeiro do Sul Airport,Cruzeiro Do Sul,Acre,BR,-7.599910,-72.769501,637,America/Rio_Branco
CZU,SKCZ,Las Brujas Airport,Corozal,Sucre,CO,9.332740,-75.285600,528,America/Bogota
CZX,ZSCG,Changzhou Airport,Changzhou,Jiangsu,CN,31.919701,119.778999,0,Asia/Shanghai
DAB,KDAB,Daytona Beach International Airport,Daytona Beach,Florida,US,29.179899,-81.058098,34,America/New_York
DAC,VGHS,Dhaka / Hazrat Shahjalal International Airport,Dhaka,Dhaka,BD,23.843347,90.397783,30,Asia/Dhaka
DAD,VVDN,Da Nang International Airport,Da Nang,Da-Nẵng,VN,16.043900,108.198997,33,Asia/Ho_Chi_Minh
DAL,KDAL,Dallas Love Field,Dallas,Texas,US,32.847099,-96.851799,487,America/Chicago
DAM,OSDI,Damascus International Airport,Damascus,Rif-dimashq,SY,33.411499,36.515598,2020,Asia/Damascus
DAR,HTDA,Mwalimu Julius K. Nyerere International Airport,Dar es Salaam,Dar-es-Salaam,TZ,-6.878110,39.202599,182,Africa/Dar_es_Salaam
DAT,ZBDT,Datong Airport,Datong,Shanxi,CN,40.060299,113.482002,3442,Asia/Shanghai
DAU,AYDU,Daru Airport,Daru,Western Province,PG,-9.086760,143.207993,20,Pacific/Port_Moresby
DAV,MPDA,Enrique Malek International Airport,David,Chiriqui,PA,8.391000,-82.434998,89,America/Panama
DAY,KDAY,James M Cox Dayton International Airport,Dayton,Ohio,US,39.902401,-84.219398,1009,America/New_York
DBO,YSDU,Dubbo City Regional Airport,Dubbo,New-South-Wales,AU,-32.216702,148.574997,935,Australia/Sydney
DBQ,KDBQ,Dubuque Regional Airport,Dubuque,Iowa,US,42.402000,-90.709503,1077,America/Chicago
DBR,VEDH,Darbhanga Airport,Darbhanga,Bihar,IN,26.194722,85.917500,171,Asia/Kolkata
DBV,LDDU,Dubrovnik Airport,Dubrovnik,Dubrovacko-Neretvanska,HR,42.561401,18.268200,527,Europe/Zagreb
DCA,KDCA,Ronald Reagan Washington National Airport,Washington,Virginia,US,38.852100,-77.037697,15,America/New_York
DCM,LFCK,Castres-Mazamet Airport,Castres/Mazamet,Occitanie,FR,43.556301,2.289180,788,Europe/Paris
DDC,KDDC,Dodge City Regional Airport,Dodge City,Kansas,US,37.763401,-99.965599,2594,America/Chicago
DDG,ZYDD,Dandong Airport,Dandong,Liaoning,CN,40.024700,124.286003,0,Asia/Shanghai
DEB,LHDC,Debrecen International Airport,Debrecen,Hajdu-Bihar,HU,47.488899,21.615299,359,Europe/Budapest
DEC,KDEC,Decatur Airport,Decatur,Illinois,US,39.834599,-88.865700,682,America/Chicago
DED,VIDN,Dehradun Airport,Dehradun,Uttar-Pradesh,IN,30.189699,78.180298,1831,Asia/Kolkata
DEE,UHSM,Mendeleyevo Airport,Kunashir Island,Sakhalin,RU,43.958401,145.682999,584,Asia/Ust-Nera
DEL,VIDP,Indira Gandhi International Airport,New Delhi,NCT,IN,28.566500,77.103104,777,Asia/Kolkata
DEN,KDEN,Denver International Airport,Denver,Colorado,US,39.861698,-104.672997,5431,America/Denver
DFW,KDFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,Texas,US,32.896801,-97.038002,607,America/Chicago
DGE,YMDG,Mudgee Airport,Mudgee,New-South-Wales,AU,-32.562500,149.610992,1545,Australia/Sydney
DGH,VEDO,Deoghar Airport,Deoghar,Jharkhand,IN,24.444722,86.702500,833,Asia/Kolkata
DGO,MMDO,General Guadalupe Victoria International Airport,Durango,Durango,MX,24.124201,-104.528000,6104,America/Monterrey
DGT,RPVD,Sibulan Airport,Dumaguete City,Central-Visayas,PH,9.333710,123.300003,15,Asia/Manila
DHI,VNDH,Dhangarhi Airport,Dhangarhi,Far-Western,NP,28.753300,80.581902,690,Asia/Kathmandu
DHM,VIGG,Kangra Airport,,Himachal-Pradesh,IN,32.165100,76.263397,2525,Asia/Kolkata
DHN,KDHN,Dothan Regional Airport,Dothan,Alabama,US,31.321301,-85.449600,401,America/Chicago
DIB,VEMN,Dibrugarh Airport,Dibrugarh,Assam,IN,27.483900,95.016899,362,Asia/Kolkata
DIE,FMNA,Arrachart Airport,,Diana,MG,-12.349400,49.291698,374,Indian/Antananarivo
DIG,ZPDQ,Diqing Airport,Shangri-La,Yunnan,CN,27.793600,99.677200,0,Asia/Shanghai
DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,North-Dakota,US,46.797401,-102.802002,2592,America/Denver
DIL,WPDL,Presidente Nicolau Lobato International Airport,Dili,Dili,TL,-8.546400,125.526001,154,Asia/Dili
DIN,VVDB,Dien Bien Phu Airport,Dien Bien Phu,Lai-Chau,VN,21.397499,103.008003,1611,Asia/Bangkok
DIR,HADR,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,Dire-Dawa,ET,9.624700,41.854198,3827,Africa/Addis_Ababa
DIU,VA1P,Diu Airport,Diu,Gujarat,IN,20.713100,70.921097,31,Asia/Kolkata
DIY,LTCC,Diyarbakir Airport,Diyarbakir,Diyarbakir,TR,37.893902,40.201000,2251,Europe/Istanbul
DJB,WIPA,Sultan Thaha Airport,Jambi-Sumatra Island,,ID,-1.638020,103.643997,82,Asia/Jakarta
DJE,DTTJ,Djerba Zarzis International Airport,Djerba,Madanin,TN,33.875000,10.775500,19,Africa/Tunis
DJG,DAAJ,Djanet Inedbirene Airport,Djanet,Illizi,DZ,24.292801,9.452440,3176,Africa/Algiers
DJJ,WAJJ,Sentani Airport,Jayapura-Papua Island,Papua,ID,-2.576950,140.516006,289,Asia/Jayapura
DKR,GOOY,Leopold Sedar Senghor International Airport,Dakar,Dakar,SN,14.739700,-17.490200,85,Africa/Dakar
DKS,UODD,Dikson Airport,Dikson,Krasnoyarskiy,RU,73.517807,80.379669,47,Asia/Krasnoyarsk
DLA,FKKD,Douala International Airport,Douala,Littoral,CM,4.006080,9.719480,33,Africa/Douala
DLC,ZYTL,Zhoushuizi Airport,Dalian,Liaoning,CN,38.965698,121.539001,107,Asia/Shanghai
DLE,LFGJ,Dole-Tavaux Airport,Dole/Tavaux,Bourgogne-Franche-Comte,FR,47.039001,5.427250,645,Europe/Paris
DLG,PADL,Dillingham Airport,Dillingham,Alaska,US,59.044701,-158.505005,81,America/Anchorage
DLH,KDLH,Duluth International Airport,Duluth,Minnesota,US,46.842098,-92.193604,1428,America/Chicago
DLI,VVDL,Lien Khuong Airport,Dalat,Lam-Dồng,VN,11.750000,108.366997,3156,Asia/Ho_Chi_Minh
DLM,LTBS,Dalaman International Airport,Dalaman,Mugla,TR,36.713100,28.792500,20,Europe/Istanbul
DLU,ZPDL,Dali Airport,Xiaguan,Yunnan,CN,25.649401,100.319000,0,Asia/Shanghai
DLY,NVVD,Dillon's Bay Airport,Dillon's Bay,Tafea,VU,-18.769400,169.001007,538,Pacific/Efate
DLZ,ZMDZ,Dalanzadgad Airport,Dalanzadgad,Oemnogovi,MN,43.591702,104.430000,4787,Asia/Ulaanbaatar
DMB,UADD,Taraz Airport,Taraz,Zhambyl,KZ,42.853600,71.303596,2184,Asia/Almaty
DMD,YDMG,Doomadgee Airport,,Queensland,AU,-17.940300,138.822006,153,Australia/Brisbane
DME,UUDD,Domodedovo International Airport,Moscow,Moscow-Oblast,RU,55.408798,37.906300,588,Europe/Moscow
DMK,VTBD,Don Mueang International Airport,Bangkok,Bangkok,TH,13.912600,100.607002,9,Asia/Bangkok
DMM,OEDF,King Fahd International Airport,Ad Dammam,Eastern-Province,SA,26.471201,49.797901,72,Asia/Riyadh
DMU,VEMR,Dimapur Airport,Dimapur,Nagaland,IN,25.883900,93.771103,487,Asia/Kolkata
DND,EGPN,Dundee Airport,Dundee,Scotland,GB,56.452499,-3.025830,17,Europe/London
DNH,ZLDH,Dunhuang Airport,Dunhuang,Gansu,CN,40.161098,94.809196,0,Asia/Shanghai
DNZ,LTAY,Cardak Airport,Denizli,Denizli,TR,37.785599,29.701300,2795,Europe/Istanbul
DOB,WAPD,Dobo Airport,Dobo-Kobror Island,Maluku,ID,-5.772220,134.212006,15,Asia/Jayapura
DOD,HTDO,Dodoma Airport,Dodoma,Dodoma,TZ,-6.170440,35.752602,3673,Africa/Dar_es_Salaam
DOH,OTHH,Hamad International Airport,Doha,Baladiyat-ad-Dawḩah,QA,25.260595,51.613766,13,Asia/Qatar
DOL,LFRG,Deauville-Saint-Gatien Airport,Deauville,Normandy,FR,49.365299,0.154306,479,Europe/Paris
DOM,TDPD,Melville Hall Airport,Marigot,Saint-Andrew,DM,15.547000,-61.299999,73,America/Dominica
DOY,ZSDY,Dongying Shengli Airport,Dongying,Shandong,CN,37.508598,118.788002,15,Asia/Shanghai
DPL,RPMG,Dipolog Airport,Dipolog City,Zamboanga-Peninsula,PH,8.601983,123.341875,12,Asia/Manila
DPO,YDPO,Devonport Airport,Devonport,Tasmania,AU,-41.169701,146.429993,33,Australia/Hobart
DPS,WADD,Ngurah Rai (Bali) International Airport,Denpasar-Bali Island,Bali,ID,-8.748170,115.167000,14,Asia/Makassar
DQA,ZYDQ,Saertu Airport,Daqing Shi,Heilongjiang,CN,46.746389,125.140556,496,Asia/Shanghai
DQM,OODQ,Duqm International Airport,Duqm,Duqm,OM,19.501900,57.634200,383,Asia/Muscat
DRB,YDBY,Derby Airport,,Western-Australia,AU,-17.370001,123.661003,24,Australia/Perth
DRG,PADE,Deering Airport,Deering,Alaska,US,66.069603,-162.766006,21,America/Nome
DRK,MRDK,Drake Bay Airport,Puntarenas,Puntarenas,CR,8.718890,-83.641701,12,America/Costa_Rica
DRO,KDRO,Durango La Plata County Airport,Durango,Colorado,US,37.151501,-107.753998,6685,America/Denver
DRS,EDDC,Dresden Airport,Dresden,Saxony,DE,51.132801,13.767200,755,Europe/Berlin
DRW,YPDN,Darwin International Airport,Darwin,Northern-Territory,AU,-12.414700,130.876999,103,Australia/Darwin
DSE,HADC,Combolcha Airport,Dessie,,ET,11.082500,39.711399,6117,Africa/Addis_Ababa
DSM,KDSM,Des Moines International Airport,Des Moines,Iowa,US,41.534000,-93.663101,958,America/Chicago
DSN,ZBDS,Ordos Ejin Horo Airport,Ordos,Inner-Mongolia,CN,39.490000,109.861389,4557,Asia/Shanghai
DSS,GOBD,Blaise Diagne International Airport,Diass,M'bour,SN,14.671111,-17.066944,289,Africa/Dakar
DTB,WIMN,Sisingamangaraja XII International Airport,Siborong-Borong,North-Sumatra,ID,2.259722,98.995278,4660,Asia/Jakarta
DTM,EDLW,Dortmund Airport,Dortmund,North-Rhine-Westphalia,DE,51.518299,7.612240,425,Europe/Berlin
DTW,KDTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,US,42.212399,-83.353401,645,America/Detroit
DUB,EIDW,Dublin Airport,Dublin,Leinster,IE,53.421299,-6.270070,242,Europe/Dublin
DUD,NZDN,Dunedin Airport,Dunedin,Otago,NZ,-45.928101,170.197998,4,Pacific/Auckland
DUE,FNDU,Dundo Airport,Chitato,Luanda-Norte,AO,-7.400890,20.818501,2451,Africa/Luanda
DUJ,KDUJ,DuBois Regional Airport,Dubois,Pennsylvania,US,41.178299,-78.898697,1817,America/New_York
DUR,FALE,King Shaka International Airport,Durban,KwaZulu-Natal,ZA,-29.614444,31.119722,295,Africa/Johannesburg
DUS,EDDL,Dusseldorf International Airport,Dusseldorf,North-Rhine-Westphalia,DE,51.289501,6.766780,147,Europe/Berlin
DUT,PADU,Unalaska Airport,Unalaska,Alaska,US,53.900101,-166.544006,22,America/Nome
DVL,KDVL,Devils Lake Regional Airport,Devils Lake,North-Dakota,US,48.114201,-98.908798,1456,America/Chicago
DVO,RPMD,Francisco Bangoy International Airport,Davao City,Davao,PH,7.125520,125.646004,96,Asia/Manila
DWC,OMDW,Al Maktoum International Airport,Jebel Ali,Dubai,AE,24.896667,55.161389,114,Asia/Dubai
DWD,OEDW,Dawadmi Domestic Airport,Dawadmi,Ar-Riyaḑ,SA,24.500000,44.400002,3429,Asia/Riyadh
DXB,OMDB,Dubai International Airport,Dubai,Dubai,AE,25.252800,55.364399,34,Asia/Dubai
DYG,ZGDY,Dayong Airport,Dayong,Hunan,CN,29.102800,110.443001,692,Asia/Shanghai
DYR,UHMA,Ugolny Airport,Anadyr,Chukotka,RU,64.734901,177.740997,194,Asia/Anadyr
DYU,UTDD,Dushanbe Airport,Dushanbe,Dushanbe,TJ,38.543301,68.824997,2575,Asia/Dushanbe
DZA,FMCZ,Dzaoudzi Pamandzi International Airport,Dzaoudzi,Pamandzi,YT,-12.804700,45.281101,23,Indian/Mayotte
DZN,UAKD,Zhezkazgan Airport,Zhezkazgan,Qaraghandy,KZ,47.708302,67.733299,1250,Asia/Almaty
EAA,PAEG,Eagle Airport,Eagle,Alaska,US,64.776398,-141.151001,908,America/Anchorage
EAE,NVSE,Sangafa Airport,Sangafa,,VU,-17.090300,168.343002,7,Pacific/Efate
EAM,OENG,Nejran Airport,,,SA,17.611401,44.419201,3982,Asia/Riyadh
EAR,KEAR,Kearney Regional Airport,Kearney,Nebraska,US,40.727001,-99.006798,2131,America/Chicago
EAS,LESO,San Sebastian Airport,Hondarribia,Basque-Country,ES,43.356499,-1.790610,16,Europe/Madrid
EAT,KEAT,Pangborn Memorial Airport,Wenatchee,Washington,US,47.398899,-120.207001,1249,America/Los_Angeles
EAU,KEAU,Chippewa Valley Regional Airport,Eau Claire,Wisconsin,US,44.865799,-91.484299,913,America/Chicago
EBB,HUEN,Entebbe International Airport,Kampala,Central-Region,UG,0.042386,32.443501,3782,Africa/Kampala
EBH,DAOY,El Bayadh Airport,El Bayadh,El-Bayadh,DZ,33.721667,1.092500,4493,Africa/Algiers
EBJ,EKEB,Esbjerg Airport,Esbjerg,South-Denmark,DK,55.525902,8.553400,97,Europe/Copenhagen
EBL,ORER,Erbil International Airport,Arbil,Arbil,IQ,36.237598,43.963200,1341,Asia/Baghdad
ECN,LCEN,Ercan International Airport,Nicosia,Nicosia,CY,35.154701,33.496101,404,Asia/Famagusta
ECP,KECP,Northwest Florida Beaches International Airport,Panama City Beach,Florida,US,30.341700,-85.797300,69,America/Chicago
EDI,EGPH,Edinburgh Airport,Edinburgh,Scotland,GB,55.950001,-3.372500,135,Europe/London
EDL,HKEL,Eldoret International Airport,Eldoret,Uasin-Gishu,KE,0.404458,35.238899,6941,Africa/Nairobi
EDO,LTFD,Balikesir Korfez Airport,Edremit,Balikesir,TR,39.554600,27.013800,50,Europe/Istanbul
EDR,YPMP,Pormpuraaw Airport,,Queensland,AU,-14.896700,141.608994,10,Australia/Brisbane
EEK,PAEE,Eek Airport,Eek,Alaska,US,60.213673,-162.043884,12,America/Nome
EFL,LGKF,Kefallinia Airport,Kefallinia Island,Ionian-Islands,GR,38.120098,20.500500,59,Europe/Athens
EGC,LFBE,Bergerac-Roumaniere Airport,Bergerac/Roumaniere,Nouvelle-Aquitaine,FR,44.825298,0.518611,171,Europe/Paris
EGE,KEGE,Eagle County Regional Airport,Eagle,Colorado,US,39.642601,-106.917999,6548,America/Denver
EGM,AGGS,Sege Airport,Sege,,SB,-8.578890,157.876007,0,Pacific/Guadalcanal
EGS,BIEG,Egilsstadir Airport,Egilsstadir,East,IS,65.283302,-14.401400,76,Atlantic/Reykjavik
EGX,PAII,Egegik Airport,Egegik,Alaska,US,58.185501,-157.375000,92,America/Anchorage
EIN,EHEH,Eindhoven Airport,Eindhoven,North-Brabant,NL,51.450100,5.374530,74,Europe/Amsterdam
EIS,TUPJ,Terrance B. Lettsome International Airport,Road Town,,VG,18.444799,-64.542999,15,America/Tortola
EJA,SKEJ,Yariguies Airport,Barrancabermeja,Santander,CO,7.024330,-73.806800,412,America/Bogota
EKO,KEKO,Elko Regional Airport,Elko,Nevada,US,40.824902,-115.792000,5140,America/Los_Angeles
ELC,YELD,Elcho Island Airport,Elcho Island,Northern-Territory,AU,-12.019400,135.570999,101,Australia/Darwin
ELD,KELD,South Arkansas Regional At Goodwin Field,El Dorado,Arkansas,US,33.221001,-92.813301,277,America/Chicago
ELG,DAUE,El Golea Airport,,Ghardaia,DZ,30.571301,2.859590,1306,Africa/Algiers
ELH,MYEH,North Eleuthera Airport,North Eleuthera,North-Eleuthera,BS,25.474899,-76.683502,13,America/Nassau
ELI,PFEL,Elim Airport,Elim,Alaska,US,64.614700,-162.272003,162,America/Nome
ELM,KELM,Elmira Corning Regional Airport,Elmira/Corning,New-York,US,42.159901,-76.891602,954,America/New_York
ELP,KELP,El Paso International Airport,El Paso,Texas,US,31.807199,-106.377998,3959,America/Denver
ELQ,OEGS,Gassim Airport,,,SA,26.302799,43.774399,2126,Asia/Riyadh
ELS,FAEL,Ben Schoeman Airport,East London,Eastern-Cape,ZA,-33.035599,27.825899,435,Africa/Johannesburg
ELU,DAUO,Guemar Airport,Guemar,El-Oued,DZ,33.511398,6.776790,203,Africa/Algiers
EMA,EGNX,East Midlands Airport,Nottingham,England,GB,52.831100,-1.328060,306,Europe/London
EMD,YEML,Emerald Airport,Emerald,Queensland,AU,-23.567499,148.179001,624,Australia/Brisbane
EMK,PAEM,Emmonak Airport,Emmonak,Alaska,US,62.786098,-164.490997,13,America/Nome
EMN,GQNI,Nema Airport,Nema,Hodh-ech-Chargui,MR,16.622000,-7.316600,751,Africa/Nouakchott
ENA,PAEN,Kenai Municipal Airport,Kenai,Alaska,US,60.573101,-151.244995,99,America/Anchorage
ENE,WATE,Ende (H Hasan Aroeboesman) Airport,Ende-Flores Island,East-Nusa-Tenggara,ID,-8.849290,121.661003,49,Asia/Makassar
ENH,ZHES,Enshi Airport,Enshi,Hubei,CN,30.320299,109.485001,1605,Asia/Shanghai
ENI,RPXX,El Nido Airport,El Nido,Palawan,PH,11.202500,119.416000,17,Asia/Manila
ENU,DNEN,Akanu Ibiam International Airport,Enegu,Enugu,NG,6.474270,7.561960,466,Africa/Lagos
ENY,ZLYA,Yan'an Airport,Yan'an,Shaanxi,CN,36.636902,109.554001,0,Asia/Shanghai
EOH,SKMD,Enrique Olaya Herrera Airport,Medellin,Antioquia,CO,6.220549,-75.590582,4949,America/Bogota
EPR,YESP,Esperance Airport,,Western-Australia,AU,-33.684399,121.822998,470,Australia/Perth
EQS,SAVE,Brigadier Antonio Parodi Airport,Esquel,Chubut,AR,-42.908001,-71.139503,2621,America/Argentina/Catamarca
ERC,LTCD,Erzincan Airport,Erzincan,Erzincan,TR,39.710201,39.527000,3783,Europe/Istanbul
ERF,EDDE,Erfurt Airport,Erfurt,Thuringia,DE,50.979801,10.958100,1036,Europe/Berlin
ERG,UIKE,Yerbogachen Airport,Erbogachen,Irkutsk,RU,61.275002,108.029999,400,Asia/Irkutsk
ERH,GMFK,Moulay Ali Cherif Airport,Errachidia,,MA,31.947500,-4.398330,3428,Africa/Casablanca
ERI,KERI,Erie International Tom Ridge Field,Erie,Pennsylvania,US,42.083127,-80.173867,732,America/New_York
ERL,ZBER,Erenhot Saiwusu International Airport,Erenhot,Inner-Mongolia,CN,43.422500,112.096667,3301,Asia/Shanghai
ERN,SWEI,Eirunepe Airport,Eirunepe,Amazonas,BR,-6.639530,-69.879799,412,America/Eirunepe
ERS,FYWE,Eros Airport,Windhoek,Khomas,NA,-22.612200,17.080400,5575,Africa/Windhoek
ERZ,LTCE,Erzurum International Airport,Erzurum,Erzurum,TR,39.956501,41.170200,5763,Europe/Istanbul
ESB,LTAC,Esenboga International Airport,Ankara,Ankara,TR,40.128101,32.995098,3125,Europe/Istanbul
ESC,KESC,Delta County Airport,Escanaba,Michigan,US,45.722698,-87.093697,609,America/Detroit
ESD,KORS,Orcas Island Airport,Eastsound,Washington,US,48.708199,-122.910004,31,America/Los_Angeles
ESU,GMMI,Mogador Airport,Essaouira,,MA,31.397499,-9.681670,384,Africa/Casablanca
ETM,LLER,Ramon Airport,Eilat,Southern-District,IL,29.723694,35.011417,288,Asia/Jerusalem
ETR,SERO,Coronel Artilleria Victor Larrea Airport,Santa Rosa,El-Oro,EC,-3.435160,-79.977798,170,America/Guayaquil
ETZ,LFJL,Metz-Nancy-Lorraine Airport,Metz / Nancy,Grand-Est,FR,48.982101,6.251320,870,Europe/Paris
EUA,NFTE,Kaufana Airport,Eua Island,ʻEua,TO,-21.378300,-174.957993,325,Pacific/Tongatapu
EUG,KEUG,Mahlon Sweet Field,Eugene,Oregon,US,44.124599,-123.211998,374,America/Los_Angeles
EUN,GMML,Hassan I Airport,El Aaiun,Laayoune-Sakia-El-Hamra,EH,27.151699,-13.219200,207,Africa/El_Aaiun
EUQ,RPVS,Evelio Javier Airport,San Jose,Western-Visayas,PH,10.766000,121.932999,23,Asia/Manila
EUX,TNCE,F. D. Roosevelt Airport,Sint Eustatius,Sint-Eustatius,BQ,17.496500,-62.979401,129,America/Kralendijk
EVE,ENEV,Harstad/Narvik Airport Evenes,Evenes,Nordland,NO,68.491302,16.678101,84,Europe/Oslo
EVG,ESND,Sveg Airport,,Jaemtland,SE,62.047798,14.422900,1178,Europe/Stockholm
EVN,UDYZ,Zvartnots International Airport,Yerevan,,AM,40.147301,44.395901,2838,Asia/Yerevan
EVV,KEVV,Evansville Regional Airport,Evansville,Indiana,US,38.036999,-87.532402,418,America/Chicago
EWB,KEWB,New Bedford Regional Airport,New Bedford,Massachusetts,US,41.676102,-70.956902,80,America/New_York
EWN,KEWN,Coastal Carolina Regional Airport,New Bern,North-Carolina,US,35.073002,-77.042900,18,America/New_York
EWR,KEWR,Newark Liberty International Airport,Newark,New-Jersey,US,40.692501,-74.168701,18,America/New_York
EXT,EGTE,Exeter International Airport,Exeter,England,GB,50.734402,-3.413890,102,Europe/London
EYP,SKYP,El Yopal Airport,El Yopal,Casanare,CO,5.319110,-72.384000,1028,America/Bogota
EYW,KEYW,Key West International Airport,Key West,Florida,US,24.556101,-81.759598,3,America/New_York
EZE,SAEZ,Ministro Pistarini International Airport,Ezeiza,Buenos-Aires,AR,-34.822200,-58.535800,67,America/Argentina/Buenos_Aires
EZS,LTCA,Elazig Airport,Elazig,Elazig,TR,38.606899,39.291401,2927,Europe/Istanbul
EZV,USHB,Berezovo Airport,,Khanty-Mansia,RU,63.921001,65.030502,98,Asia/Yekaterinburg
FAC,NTKF,Faaite Airport,,Iles-Tuamotu-Gambier,PF,-16.686701,-145.328995,7,Pacific/Tahiti
FAE,EKVG,Vagar Airport,Vagar,Vagar,FO,62.063599,-7.277220,280,Atlantic/Faroe
FAI,PAFA,Fairbanks International Airport,Fairbanks,Alaska,US,64.815102,-147.856003,439,America/Anchorage
FAO,LPFR,Faro Airport,Faro,Faro,PT,37.014400,-7.965910,24,Europe/Lisbon
FAR,KFAR,Hector International Airport,Fargo,North-Dakota,US,46.920700,-96.815804,902,America/Chicago
FAT,KFAT,Fresno Yosemite International Airport,Fresno,California,US,36.776199,-119.718002,336,America/Los_Angeles
FAV,NTGF,Fakarava Airport,,Iles-Tuamotu-Gambier,PF,-16.054100,-145.656998,13,Pacific/Tahiti
FAY,KFAY,Fayetteville Regional Grannis Field,Fayetteville,North-Carolina,US,34.991199,-78.880302,189,America/New_York
FBE,SSFB,Francisco Beltrao Airport,Francisco Beltrao,Parana,BR,-26.059200,-53.063499,2100,America/Sao_Paulo
FBM,FZQA,Lubumbashi International Airport,Lubumbashi,,CD,-11.591300,27.530899,4295,Africa/Lubumbashi
FCA,KGPI,Glacier Park International Airport,Kalispell,Montana,US,48.310501,-114.255997,2977,America/Denver
FCO,LIRF,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,41.804501,12.250800,15,Europe/Rome
FDE,ENBL,Bringeland Airport,Forde,Sogn-og-Fjordane,NO,61.391102,5.756940,1046,Europe/Oslo
FDF,TFFF,Martinique Aime Cesaire International Airport,Fort-de-France,Martinique,MQ,14.591000,-61.003201,16,America/Martinique
FDH,EDNY,Friedrichshafen Airport,Friedrichshafen,Baden-Wuerttemberg,DE,47.671299,9.511490,1367,Europe/Berlin
FEC,SNJD,Joao Durval Carneiro Airport,Feira De Santana,Bahia,BR,-12.200300,-38.906799,768,America/Bahia
FEG,UTKF,Fergana Airport,Fergana,Fergana,UZ,40.358799,71.745003,1980,Asia/Tashkent
FEN,SBFN,Fernando de Noronha Airport,Fernando De Noronha,Pernambuco,BR,-3.854930,-32.423302,193,America/Noronha
FEZ,GMFF,Saiss Airport,Fes,Fes-Meknes,MA,33.927299,-4.977960,1900,Africa/Casablanca
FGU,NTGB,Fangatau Airport,,Iles-Tuamotu-Gambier,PF,-15.819900,-140.886993,9,Pacific/Tahiti
FHZ,NTKH,Fakahina Airport,Fakahina,,PF,-15.992200,-140.164993,3,Pacific/Tahiti
FIH,FZAA,Ndjili International Airport,Kinshasa,,CD,-4.385750,15.444600,1027,Africa/Kinshasa
FIZ,YFTZ,Fitzroy Crossing Airport,,Western-Australia,AU,-18.181900,125.558998,368,Australia/Perth
FJR,OMFJ,Fujairah International Airport,,Al-Fujayrah,AE,25.112200,56.324001,152,Asia/Dubai
FKB,EDSB,Karlsruhe Baden-Baden Airport,Baden-Baden,Baden-Wuerttemberg,DE,48.779400,8.080500,408,Europe/Berlin
FKI,FZIC,Bangoka International Airport,Kisangani,Tshopo,CD,0.481639,25.337999,1417,Africa/Lubumbashi
FKQ,WASF,Fakfak Airport,Fakfak-Papua Island,,ID,-2.920190,132.266998,462,Asia/Jayapura
